Time (Sec);S1;S2;S3;S4;S11;S12;S13;S14;S15;S16;S17;
0.0;19159.9999;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19159.9999;19160.0;19160.0;19160.0;19160.0;
0.99996791713051;19159.977024199998;19159.9999;19159.9999;19160.0;19159.9999;19159.999799999998;19159.9999;19160.0;19160.0;19160.0;19160.0;
0.9999700148923679;19159.977024199998;19159.9999;19159.9999;19160.0;19159.9999;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
0.9999793110386477;19159.977024199998;19159.999799999998;19159.9999;19160.0;19159.9999;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.0000026907863828;19159.977024199998;19159.999799999998;19159.9999;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.0000133885392273;19159.977024199998;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.0458190932653708;19159.976924199997;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.0458190932653708;19159.954191399996;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.091440426598704;19159.954191399996;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.091600426598704;19159.954048399995;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999799999998;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.9999358342610198;19159.954048399995;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999699999997;19159.999799999998;19160.0;19160.0;19160.0;19160.0;
1.9999400297847356;19159.954048399995;19159.999799999998;19159.999799999998;19160.0;19159.999799999998;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
1.9999586220772951;19159.954048399995;19159.999699999997;19159.999799999998;19160.0;19159.999799999998;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.000005381572765;19159.954048399995;19159.999699999997;19159.999799999998;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.000059002434831;19159.954048399995;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.0915828998845973;19159.953948399994;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.0915828998845973;19159.931215599994;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.137204233217931;19159.931215599994;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.137364233217931;19159.931072599993;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999699999997;19160.0;19160.0;19160.0;19160.0;
2.999912661613902;19159.931072599993;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999699999997;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
2.9999380613208424;19159.931072599993;19159.999699999997;19159.999699999997;19160.0;19159.999699999997;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
2.999958462125641;19159.931072599993;19159.999599999996;19159.999699999997;19160.0;19159.999699999997;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.0000269291990764;19159.931072599993;19159.999599999996;19159.999699999997;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.000104616330435;19159.931072599993;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.1373467065038247;19159.930972599992;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.1373467065038247;19159.908239799992;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.1829680398371583;19159.908239799992;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.1831280398371584;19159.90809679999;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999599999996;19160.0;19160.0;19160.0;19160.0;
3.999885293443069;19159.90809679999;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999599999996;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
3.999940288380665;19159.90809679999;19159.999599999996;19159.999599999996;19160.0;19159.999599999996;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
3.9999583021739875;19159.90809679999;19159.999499999994;19159.999599999996;19160.0;19159.999599999996;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.000048476825388;19159.90809679999;19159.999499999994;19159.999599999996;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.000150230226039;19159.90809679999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.183110513123052;19159.90799679999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.183110513123052;19159.88526399999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.228731846456385;19159.88526399999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.228891846456385;19159.88512099999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999499999994;19160.0;19160.0;19160.0;19160.0;
4.999857925272235;19159.88512099999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999499999994;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
4.9999425154404875;19159.88512099999;19159.999499999994;19159.999499999994;19160.0;19159.999499999994;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
4.999958142222334;19159.88512099999;19159.999399999993;19159.999499999994;19160.0;19159.999499999994;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.000070024451699;19159.88512099999;19159.999399999993;19159.999499999994;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.000195844121643;19159.88512099999;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.228874319742279;19159.885020999987;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.228874319742279;19159.862288199987;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.274495653075612;19159.862288199987;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.274655653075612;19159.862145199986;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999399999993;19160.0;19160.0;19160.0;19160.0;
5.999830557101403;19159.862145199986;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999399999993;19159.999299999992;19160.0;19160.0;19160.0;19160.0;
5.999944742500311;19159.862145199986;19159.999399999993;19159.999399999993;19160.0;19159.999399999993;19159.999299999992;19159.999299999992;19160.0;19160.0;19160.0;19160.0;
5.999957982270681;19159.862145199986;19159.999299999992;19159.999399999993;19160.0;19159.999399999993;19159.999299999992;19159.999299999992;19160.0;19160.0;19160.0;19160.0;
